annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2008;2008203594;121053;THE DARK KNIGHT;AVENTURES;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2008-08-13;NON;799;the dark knight;warner bros. entertainment france                               
2012;2012002017;134042;THE DARK KNIGHT RISES;AVENTURES;GRANDE BRETAGNE;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2012-07-25;NON;770;the dark knight rises;warner bros. entertainment france                               
2019;2018003389;149364;THE DARKEST;HORREUR;FRANCE;SEVEN LIGHT;TP;2019-11-27;NON;1;the darkest;seven light
2012;2011003132;131501;THE DARKEST HOUR;SCIENCE FICTION;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2012-01-11;NON;308;the darkest hour;twentieth century fox france inc                                
2012;2011002633;133158;THE DAY HE ARRIVES;DRAME;COREE DU SUD;LES ACACIAS                                                     ;TP;2012-05-16;OUI;19;the day he arrives;les acacias                                                     
2001;2000093771;098836;THE DAY THE PONIES CAME BACK;COMEDIE DRAMATIQUE;FRANCE;MONDO FILMS;TP;2001-03-21;OUI;1;the day the ponies came back;mondo films
2019;2019002021;150870;THE DEAD DON'T DIE;COMEDIE;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;12;2019-05-15;OUI;294;the dead don t die;universal pictures international france sas                     
2008;2008293198;119988;THE DEAD GIRL;DRAME;ETATS UNIS;ARP MERMOZ;TPA;2008-03-05;OUI;26;the dead girl;arp mermoz
2012;2012001413;133360;THE DEEP BLUE SEA;DRAME;GRANDE BRETAGNE;DIAPHANA DISTRIBUTION                                           ;TP;2012-06-20;OUI;28;the deep blue sea;diaphana distribution                                           
2021;2019005605;152117;THE DEEP HOUSE;HORREUR;FRANCE;APOLLO FILMS DISTRIBUTION;12;2021-06-30;NON;226;the deep house;apollo films distribution
2020;2020000834;152739;THE DEMON INSIDE;HORREUR;ETATS UNIS;ALBA FILMS;12;2020-06-22;NON;233;the demon inside;alba films
2012;2011003130;131498;THE DESCENDANTS;COMEDIE DRAMATIQUE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2012-01-25;OUI;254;the descendants;twentieth century fox france inc                                
2005;2005393746;113683;THE DESCENT;HORREUR;GRANDE BRETAGNE;LA FABRIQUE DE FILMS;16;2005-10-12;NON;144;the descent;la fabrique de films
2009;2009993940;123889;THE DESCENT : PART 2;HORREUR;GRANDE BRETAGNE;PATHE DISTRIBUTION                                              ;12;2009-10-14;NON;134;the descent : part 2;pathe distribution                                              
2012;2011003094;131888;THE DEVIL INSIDE;HORREUR;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;12;2012-02-22;NON;201;the devil inside;paramount pictures france                                       
2006;2006293468;115584;THE DEVIL S REJECTS;HORREUR;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;16;2006-07-19;NON;70;the devil s rejects;metropolitan filmexport                                         
2024;2023004388;160367;DEVIL'S BATH (THE);DRAME;EUROPE;PAN-DISTRIBUTION;TP;2024-10-02;OUI;20;the devil s bath;pan-distribution
2004;2004293475;109628;THE DEVILS FIRE;DOCUMENTAIRE;ETATS UNIS;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2004-04-28;OUI;12;the devils fire;societe d’exploitation des films majestic
2012;2012000433;133276;THE DICTATOR;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2012-06-20;NON;344;the dictator;paramount pictures france                                       
2010;2010001367;126550;THE DINNER;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2010-11-10;NON;9;the dinner;paramount pictures france                                       
2012;2012001820;133859;THE DIRTY PICTURE;DRAME;INDE;NIGHT ED FILMS                                                  ;TP;2012-07-04;NON;3;the dirty picture;night ed films                                                  
2018;2018000103;147992;THE DISASTER ARTIST;BIOGRAPHIE;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2018-03-07;OUI;68;the disaster artist;warner bros. entertainment france                               
2002;2002993247;104714;THE DISH;AVENTURES;AUSTRALIE;OPENING                                                         ;TP;2002-05-01;NON;2;the dish;opening                                                         
2016;2016001557;144413;THE DOOR;HORREUR;ALLEMAGNE;TWENTIETH CENTURY FOX FRANCE INC                                ;12;2016-06-01;NON;140;the door;twentieth century fox france inc                                
2014;2014000750;139217;THE DOUBLE;DRAME;GRANDE BRETAGNE;MARS FILMS                                                      ;TP;2014-08-13;NON;28;the double;mars films                                                      
2008;2008093844;121697;THE DUCHESS;COMEDIE DRAMATIQUE;GRANDE BRETAGNE / FRANCE / ITALIE;PATHE DISTRIBUTION                                              ;TP;2008-11-12;NON;132;the duchess;pathe distribution                                              
2022;2021000896;155350;THE DUKE;COMEDIE;GRANDE BRETAGNE;PATHE FILMS;TP;2022-05-11;OUI;184;the duke;pathe films
