annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2019;2019000580;;#FEMALE PLEASURE;DOCUMENTAIRE;SUISSE;JUSTE DISTRIBUTION;TP;2019-05-01;NON;17;#female pleasure;juste distribution
2020;2017004800;147956;#JESUISLA;COMEDIE DRAMATIQUE;France;GAUMONT;TP;2020-02-05;NON;447;#jesuisla;gaumont
2011;2011002146;130736;(S)EX LIST;COMEDIE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2011-10-05;NON;207;(s)ex list;twentieth century fox france inc                                
1998;1998093268;091947;...COMME ELLE RESPIRE;COMEDIE DRAMATIQUE;FRANCE;LES FILMS DU LOSANGE                                            ;TP;1998-04-15;OUI;115;...comme elle respire;les films du losange                                            
2015;2015001217;142645;007 SPECTRE;AVENTURES;GRANDE BRETAGNE;SONY PICTURES RELEASING (FRANCE)                                ;TP;2015-11-11;NON;804;007 spectre;sony pictures releasing (france)                                
2003;2003083335;107985;01;INDETERMINE;FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2003-06-18;OUI;43;01;europacorp distribution                                         
2007;2007093046;111821;02;INDETERMINE;FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2007-04-04;OUI;11;02;europacorp distribution                                         
2005;2005073533;111296;1 3 DES YEUX;DOCUMENTAIRE;FRANCE;CAPRICCI FILMS                                                  ;TP;2005-11-09;OUI;2;1 3 des yeux;capricci films                                                  
2004;2004283462;110843;1 DUPLEX POUR 3;COMEDIE;ETATS UNIS;TFM DISTRIBUTION;TP;2004-07-07;NON;125;1 duplex pour 3;tfm distribution
2017;2016004373;145827;1:54;THRILLER;CANADA;ARP MERMOZ;TP;2017-03-15;OUI;72;1:54;arp mermoz
2006;2006993932;116587;10 CANOES, 150 LANCES ET 3 EPOUSES;AVENTURES;AUSTRALIE;MEMENTO FILMS DISTRIBUTION                                      ;TP;2006-12-20;OUI;20;10 canoes, 150 lances et 3 epouses;memento films distribution                                      
2016;2016000425;144039;10 CLOVERFIELD LANE;THRILLER;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TPA;2016-03-16;NON;280;10 cloverfield lane;paramount pictures france                                       
2004;2004093180;107958;10 E CHAMBRE INSTANTS D AUDIENCES;DOCUMENTAIRE;FRANCE;LES FILMS DU LOSANGE                                            ;TP;2004-06-02;OUI;52;10 e chambre instants d audiences;les films du losange                                            
2012;2010002524;127885;10 JOURS EN OR;COMEDIE;FRANCE;METROPOLITAN FILMEXPORT                                         ;TP;2012-01-11;NON;234;10 jours en or;metropolitan filmexport                                         
2023;2021003044;155750;10 JOURS ENCORE SANS MAMAN;COMEDIE;FRANCE;STUDIOCANAL;TP;2023-04-12;NON;666;10 jours encore sans maman;studiocanal
2020;2019003043;151172;10 JOURS SANS MAMAN;COMEDIE;FRANCE;STUDIOCANAL;TP;2020-02-19;NON;580;10 jours sans maman;studiocanal
1997;1997083624;091885;100   ARABICA;COMEDIE;FRANCE / BELGIQUE;EUROZOOM                                                        ;TP;1997-11-05;OUI;59;100 arabica;eurozoom                                                        
2001;2001293460;100930;100 GIRLS;COMEDIE;ETATS UNIS;SAGITTAIRE FILMS;TP;2001-07-04;NON;99;100 girls;sagittaire films
2019;2013003119;138358;100 KILOS D'ETOILES;COMEDIE DRAMATIQUE;FRANCE;BAC FILMS DISTRIBUTION                                          ;TP;2019-07-17;OUI;75;100 kilos d etoiles;bac films distribution                                          
2013;2012002085;134151;100% CACHEMIRE;COMEDIE;FRANCE;WILD BUNCH                                                      ;TP;2013-12-11;NON;429;100% cachemire;wild bunch                                                      
2020;2020002189;153866;100 % LOUP;ANIMATION;AUSTRALIE;ALBA FILMS;TP;2020-10-28;NON;287;100% loup;alba films
2024;2020002493;153557;100.000.000.000.000 (CENT MILLE MILLIARDS);DRAME;FRANCE;UFO DISTRIBUTION;TP;2024-12-04;OUI;16;100.000.000.000.000 (cent mille milliards);ufo distribution
2008;2008293179;119944;10000;AVENTURES;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2008-03-12;NON;595;10000;warner bros. entertainment france                               
2015;2015001106;2015001106;10000 KM;COMEDIE DRAMATIQUE;ESPAGNE;;TP;2015-04-29;OUI;9;10000 km;
2015;2013001111;136546;1001 GRAMMES;DRAME;NORVEGE / ALLEMAGNE / FRANCE;LES FILMS DU LOSANGE                                            ;TP;2015-03-11;OUI;29;1001 grammes;les films du losange                                            
1999;1999293068;096235;1001 PATTES;ANIMATION;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;1999-02-10;NON;687;1001 pattes;gaumont buena vista international
2001;2002983023;103847;101 REYKJAVIK;COMEDIE;ISLANDE;SAGITTAIRE FILMS;12;2001-10-31;OUI;38;101 reykjavik;sagittaire films
2001;2001293032;101317;102 DALMATIENS;COMEDIE;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;2001-01-31;NON;654;102 dalmatiens;gaumont buena vista international
2022;2022001212;157488;107 MOTHERS;DRAME;SLOVAQUIE;LES ALCHIMISTES;TP;2022-09-14;OUI;39;107 mothers;les alchimistes
2011;2010002834;128210;108 - CUCHILLO DE PALO;DOCUMENTAIRE;ESPAGNE;URBAN DISTRIBUTION                                              ;TP;2011-03-23;OUI;5;108 - cuchillo de palo;urban distribution                                              
2015;2010001767;127042;108 ROIS-DEMONS;ANIMATION;FRANCE / LUXEMBOURG / BELGIQUE / CHINE;GEBEKA FILMS                                                    ;TP;2015-01-21;OUI;101;108 rois-demons;gebeka films                                                    
2016;2014001644;139734;10949 FEMMES;DOCUMENTAIRE;FRANCE;LES FILMS DES DEUX RIVES                                        ;TP;2016-04-27;OUI;8;10949 femmes;les films des deux rives                                        
2002;2002093485;106032;11 09 01 SEPTEMBER 11;INDETERMINE;FRANCE;BAC DISTRIBUTION;TP;2002-09-11;OUI;70;11 09 01 september 11;bac distribution
2012;2010002210;127544;11 FLEURS;DRAME;CHINE / FRANCE;HAUT ET COURT DISTRIBUTION                                      ;TP;2012-05-09;OUI;31;11 fleurs;haut et court distribution                                      
2019;2016001278;144242;11 FOIS FATIMA;DRAME;PORTUGAL / FRANCE;JHR FILMS;TP;2019-06-12;OUI;20;11 fois fatima;jhr films
2017;2016003184;2016003184;11 MINUTES;THRILLER;POLOGNE;ZOOTROPE PRODUCTIONS                                            ;TP;2017-04-19;OUI;20;11 minutes;zootrope productions                                            
2013;2012002002;133508;11.6;THRILLER;FRANCE;WILD BUNCH                                                      ;TP;2013-04-03;NON;349;11.6;wild bunch                                                      
2004;2004283861;111632;11:14;COMEDIE;ETATS UNIS;SOCIETE NOUVELLE DE DISTRIBUTION                                ;12;2004-12-01;NON;47;11:14;societe nouvelle de distribution                                
2010;2009994877;124625;12;THRILLER;RUSSIE;KINOVISTA                                                       ;TP;2010-02-10;OUI;11;12;kinovista                                                       
2013;2011001168;129776;12 ANS D'ÂGE;COMEDIE;FRANCE;PYRAMIDE                                                        ;TP;2013-06-26;NON;118;12 ans d âge;pyramide                                                        
2013;2012002059;134065;12 HEURES;THRILLER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2013-07-24;NON;162;12 heures;metropolitan filmexport                                         
2017;2016002696;145039;12 JOURS;DOCUMENTAIRE;FRANCE;WILD BUNCH DISTRIBUTION                                         ;TP;2017-11-29;OUI;76;12 jours;wild bunch distribution                                         
2009;2009993750;123736;12 ROUNDS;AVENTURES;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2009-08-26;NON;11;12 rounds;twentieth century fox france inc                                
1997;1997993545;093025;12 STOREYS;DRAME;SINGAPOUR;FILMS DE LA GOUTTE D'OR;TP;1997-09-24;OUI;4;12 storeys;films de la goutte d'or
2017;2013001228;136703;120 BATTEMENTS PAR MINUTE;DRAME;FRANCE;MEMENTO FILMS DISTRIBUTION                                      ;TPA;2017-08-23;OUI;313;120 battements par minute;memento films distribution                                      
2011;2010002509;128277;127 HEURES;DRAME;GRANDE BRETAGNE;PATHE DISTRIBUTION                                              ;TPA;2011-02-23;NON;201;127 heures;pathe distribution                                              
2007;2006983889;116742;12H08 A L EST DE BUCAREST;COMEDIE DRAMATIQUE;ROUMANIE;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2007-01-10;OUI;36;12h08 a l est de bucarest;societe d’exploitation des films majestic
2002;2002293003;103911;13 FANTOMES;FANTASTIQUE;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;12;2002-01-16;NON;297;13 fantomes;sony pictures television distribution (france)                  
2007;2007083592;117087;13 FRENCH STREET;THRILLER;FRANCE;TNVO                                                            ;TP;2007-11-28;NON;18;13 french street;tnvo                                                            
2016;2015002800;143694;13 HOURS;THRILLER;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;12;2016-03-30;NON;144;13 hours;paramount pictures france                                       
2007;2007083310;114262;13 M2;COMEDIE DRAMATIQUE;FRANCE;REZO FILMS;TP;2007-06-20;OUI;34;13 m2;rezo films
2006;2005093864;111740;13 TZAMETI;THRILLER;FRANCE;MK2 FILMS;16;2006-02-08;OUI;33;13 tzameti;mk2 films
2017;2015002179;144085; 1336 JOURS, DES HAUTS, DÉBATS MAIS DEBOUT;DOCUMENTAIRE;FRANCE;LES FILMS DES DEUX RIVES                                        ;TP;2017-03-22;NON;1;1336 jours, des hauts, débats mais debout;les films des deux rives                                        
2017;2017000893;146241;14 ANS PREMIER AMOUR;DRAME;RUSSIE;TOUPIE FILMS                                                    ;TP;2017-05-10;OUI;19;14 ans premier amour;toupie films                                                    
2024;2023002797;159635;14 JOURS POUR ALLER MIEUX;COMEDIE;FRANCE;WILD BUNCH;TP;2024-03-06;;415;14 jours pour aller mieux;wild bunch
2009;2009993121;122439;14 KILOMETRES;DRAME;ESPAGNE;COLIFILMS DIFFUSION;TP;2009-02-25;OUI;4;14 kilometres;colifilms diffusion
2018;2018001696;148582;14 POMMES;DOCUMENTAIRE;TAIWAN;CARLOTTA FILMS                                                  ;TP;2018-05-16;OUI;8;14 pommes;carlotta films                                                  
2022;2019004452;151695;140 KM A L'OUEST DU PARADIS;DOCUMENTAIRE;FRANCE;NEW STORY;TP;2022-09-21;OUI;9;140 km a l ouest du paradis;new story
2021;2019005344;153138;143 RUE DU DESERT;DOCUMENTAIRE;FRANCE;METEORE FILMS;TP;2021-06-16;OUI;46;143 rue du desert;meteore films
2008;2008093286;117581;15 ANS ET DEMI;COMEDIE;FRANCE;GAUMONT                                                         ;TP;2008-04-30;NON;361;15 ans et demi;gaumont                                                         
2001;2001093215;101085;15 AOUT;COMEDIE;FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2001-04-18;NON;254;15 aout;europacorp distribution                                         
2001;2001293259;102157;15 MINUTES;POLICIER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;16;2001-04-04;NON;255;15 minutes;metropolitan filmexport                                         
2023;2017002424;146868;16 ANS;DRAME;FRANCE;PANAME DISTRIBUTION;TP;2023-01-04;OUI;255;16 ans;paname distribution
2013;2012002215;134295;16 ANS OU PRESQUE;COMEDIE;FRANCE;UGC DISTRIBUTION                                                ;TP;2013-12-18;NON;396;16 ans ou presque;ugc distribution                                                
2006;2006293224;114406;16 BLOCKS;POLICIER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2006-04-05;NON;255;16 blocks;metropolitan filmexport                                         
2018;2018003393;149368;16 LEVERS DE SOLEIL;DOCUMENTAIRE;FRANCE;;TP;2018-10-03;OUI;116;16 levers de soleil;
2009;2009293290;122952;17 ANS ENCORE;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2009-04-22;NON;408;17 ans encore;metropolitan filmexport                                         
2021;2020002197;153524;17 BLOCKS;DOCUMENTAIRE;ETATS UNIS;DULAC DISTRIBUTION;TPA;2021-06-09;OUI;23;17 blocks;dulac distribution
2011;2009994108;123968;17 FILLES;COMEDIE DRAMATIQUE;FRANCE;DIAPHANA DISTRIBUTION                                           ;TP;2011-12-14;OUI;68;17 filles;diaphana distribution                                           
2001;2001083738;094585;17 RUE BLEUE;DRAME;FRANCE;REZO FILMS;TP;2001-11-21;OUI;30;17 rue bleue;rezo films
2011;2011001799;130678;18 JOURS;COMEDIE DRAMATIQUE;EGYPTE;EUROZOOM                                                        ;TP;2011-09-07;OUI;23;18 jours;eurozoom                                                        
2006;1900022764;106805;1802, L'EPOPEE GUADELOUPEENNE;AVENTURES;FRANCE;BICEPHALE PRODUCTION                                            ;TP;2006-05-10;NON;1;1802, l epopee guadeloupeenne;bicephale production                                            
2005;2005093689;112411;1805;HISTOIRE;FRANCE;LIMELIGHT DISTRIBUTION;TP;2005-11-30;NON;2;1805;limelight distribution
1998;1998293314;094472;187 : CODE MEURTRE;DRAME;ETATS UNIS;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;1998-04-29;NON;54;187 : code meurtre;societe d’exploitation des films majestic
1997;1997393036;090697;1871;DRAME;GRANDE BRETAGNE;THEATRE DU TEMPLE                                               ;TP;1997-02-19;OUI;1;1871;theatre du temple                                               
2003;2004983194;110033;19;COMEDIE DRAMATIQUE;JAPON;BODEGA FILMS                                                    ;12;2003-07-23;OUI;6;19;bodega films                                                    
2020;2019005585;152284;1917;HISTOIRE;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS;TPA;2020-01-15;OUI;589;1917;universal pictures international france sas
2002;2002203498;105490;1943, L ULTIME REVOLTE;GUERRE;ETATS UNIS;BODEGA FILMS                                                    ;TP;2002-05-08;NON;1;1943, l ultime revolte;bodega films                                                    
2002;2002093123;104157;1974 UNE PARTIE DE CAMPAGNE;DOCUMENTAIRE;FRANCE;GEMACI                                                          ;TP;2002-02-21;OUI;7;1974 une partie de campagne;gemaci                                                          
2000;2000083051;092090;1999 - MADELEINE;COMEDIE DRAMATIQUE;FRANCE;AD VITAM                                                        ;TP;2000-02-02;OUI;18;1999 - madeleine;ad vitam                                                        
2018;2018005166;;2 0;SCIENCE FICTION;INDE;AANNA FILMS                                                     ;TP;2018-11-29;;32;2 0;aanna films                                                     
2013;2013002401;137929;2 AUTOMNES 3 HIVERS;COMEDIE;FRANCE;UFO DISTRIBUTION                                                ;TP;2013-12-25;OUI;37;2 automnes 3 hivers;ufo distribution                                                
2012;2010001807;127103;2 DAYS IN NEW YORK;COMEDIE;FRANCE / ALLEMAGNE;REZO FILMS                                                      ;TP;2012-03-28;OUI;190;2 days in new york;rezo films                                                      
2007;2007093484;115569;2 DAYS IN PARIS;COMEDIE;FRANCE / ALLEMAGNE;REZO FILMS;TP;2007-07-11;OUI;89;2 days in paris;rezo films
2012;2010001432;134762;2 DUO;DRAME;JAPON;CAPRICCI FILMS                                                  ;TP;2012-10-31;OUI;4;2 duo;capricci films                                                  
2013;2013001482;136871;2 GUNS;COMEDIE;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2013-09-25;NON;323;2 guns;sony pictures releasing (france)                                
2006;2007993164;116711;2 H 37;DRAME;AUSTRALIE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TP;2006-11-29;OUI;49;2 h 37;societe nouvelle de distribution                                
1997;1997293412;092102;2 JOURS A LOS ANGELES;COMEDIE;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;TP;1997-07-30;NON;6;2 jours a los angeles;sony pictures television distribution (france)                  
2024;2023002197;160251;20 000 ESPECES D ABEILLES;DRAME;FRANCE;JOUR 2 FETE;TP;2024-02-14;OUI;67;20 000 especes d abeilles;jour 2 fete
2014;2014003493;141112;20 000 JOURS SUR TERRE;DOCUMENTAIRE;ETATS UNIS;CARLOTTA FILMS                                                  ;TP;2014-12-24;OUI;18;20 000 jours sur terre;carlotta films                                                  
2013;2012001594;133606;20 ANS D'ECART;COMEDIE;FRANCE;EUROPACORP DISTRIBUTION                                         ;TP;2013-03-06;NON;405;20 ans d ecart;europacorp distribution                                         
2005;2005093666;111833;20 CENTIMETRES;COMEDIE DRAMATIQUE;ESPAGNE / FRANCE;LIMELIGHT DISTRIBUTION;TPA;2005-10-12;OUI;10;20 centimetres;limelight distribution
2000;1999283431;097227;20 DATES;COMEDIE DRAMATIQUE;ETATS UNIS;OPENING                                                         ;TP;2000-02-09;NON;4;20 dates;opening                                                         
2008;2009093209;121460;20 MINUTES DE BONHEUR;DOCUMENTAIRE;FRANCE;SHELLAC                                                         ;TP;2008-09-17;OUI;3;20 minutes de bonheur;shellac                                                         
2006;2006083103;106337;20 NUITS ET UN JOUR DE PLUIE;DRAME;ALLEMAGNE / FRANCE;REZO FILMS;TP;2006-02-08;OUI;6;20 nuits et un jour de pluie;rezo films
2021;2021000714;155098;200 METRES;AVENTURES;PALESTINE;SHELLAC;TP;2021-06-09;OUI;70;200 metres;shellac
2013;2013001896;137440;200%;COMEDIE;FRANCE;POINTLIGNEPLAN                                                  ;TP;2013-12-04;NON;1;200%;pointligneplan                                                  
2009;1900026835;121986;2012;SCIENCE FICTION;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2009-11-11;NON;651;2012;sony pictures releasing (france)                                
2020;2019005782;152427;2040;DOCUMENTAIRE;AUSTRALIE;L’ATELIER DISTRIBUTION;TP;2020-02-26;NON;18;2040;l’atelier distribution
2004;2005093008;106463;2046;COMEDIE DRAMATIQUE;FRANCE / ITALIE;OCEAN FILMS DISTRIBUTION;TP;2004-10-20;OUI;142;2046;ocean films distribution
2009;2009993042;122404;20TH CENTURY BOYS;SCIENCE FICTION;JAPON;EUROZOOM                                                        ;TP;2009-01-14;NON;9;20th century boys;eurozoom                                                        
2009;2009995116;124833;20th CENTURY BOYS 2-CHAPITRE 2 : LE DERNIER ESPOIR;THRILLER;JAPON;EUROZOOM                                                        ;TP;2009-08-26;NON;3;20th century boys 2-chapitre 2 : le dernier espoir;eurozoom                                                        
2017;2017000277;146164;20TH CENTURY WOMEN;COMEDIE DRAMATIQUE;ETATS UNIS;MARS FILMS                                                      ;TP;2017-03-01;OUI;54;20th century women;mars films                                                      
2004;2004293040;109650;21 GRAMMES;COMEDIE DRAMATIQUE;ETATS UNIS;ARP MERMOZ;12;2004-01-21;OUI;171;21 grammes;arp mermoz
2012;2012000473;132596;21 JUMP STREET;POLICIER;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2012-06-06;NON;194;21 jump street;sony pictures releasing (france)                                
2015;2013001971;137501;21 NUITS AVEC PATTIE;COMEDIE;FRANCE;PYRAMIDE                                                        ;TP;2015-11-25;OUI;281;21 nuits avec pattie;pyramide                                                        
2014;2014000187;139814;22 JUMP STREET;COMEDIE;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2014-08-27;NON;292;22 jump street;sony pictures releasing (france)                                
2018;2018003254;149337;22 MILES;AVENTURES;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;12A;2018-08-29;;306;22 miles;metropolitan filmexport                                         
1999;1999493434;097348;23;POLICIER;ALLEMAGNE;LES ACACIAS                                                     ;TP;1999-07-07;OUI;5;23;les acacias                                                     
2009;1900027200;122817;24 CITY;DOCUMENTAIRE;HONG KONG;AD VITAM                                                        ;TP;2009-03-18;OUI;23;24 city;ad vitam                                                        
2023;2023003355;160011;24 HEURES A NEW YORK;DRAME;ETATS UNIS;DULAC DISTRIBUTION;TP;2023-08-09;OUI;23;24 heures a new york;dulac distribution
2003;2002093756;101220;24 HEURES DE LA VIE D UNE FEMME;DRAME;FRANCE / ALLEMAGNE / GRANDE BRETAGNE;MK2 FILMS;TP;2003-01-08;OUI;225;24 heures de la vie d une femme;mk2 films
2003;2004393566;108294;24 HOUR PARTY PEOPLE;MUSICAL;GRANDE BRETAGNE;LES FILMS DU PARADOXE                                           ;TP;2003-06-04;OUI;37;24 hour party people;les films du paradoxe                                           
2014;2013002339;136548;24 JOURS, LA VÉRITÉ SUR L'AFFAIRE ILAN HALIMI;DRAME;FRANCE;PARADIS FILMS                                                   ;TPA;2014-04-30;NON;148;24 jours, la vérité sur l affaire ilan halimi;paradis films                                                   
2007;2007083716;115675;24 MESURES;COMEDIE DRAMATIQUE;FRANCE / CANADA;MK2 FILMS;TP;2007-12-05;OUI;60;24 mesures;mk2 films
2018;2017004671;147996;24H LIMIT;AVENTURES;ETATS UNIS;SOCIETE NOUVELLE DE DISTRIBUTION                                ;12;2018-01-17;;192;24h limit;societe nouvelle de distribution                                
2004;2004093481;106152;25 EN HIVER;COMEDIE;BELGIQUE / FRANCE / ESPAGNE;LES FILMS DU SAFRAN;TP;2004-07-21;OUI;7;25 en hiver;les films du safran
2013;2013002113;137649;25 NOVEMBRE 1970 : LE JOUR OU MISHIMA CHOISIT SON DESTIN;DRAME;JAPON;DISSIDENZ                                                       ;TP;2013-11-27;OUI;1;25 novembre 1970 : le jour ou mishima choisit son destin;dissidenz                                                       
2003;2004993044;109140;25 WATTS;COMEDIE;URUGUAY;HELIOTROPE FILMS                                                ;TP;2003-12-24;OUI;6;25 watts;heliotrope films                                                
2014;2014000690;139395;26 LETTRES ET UN PHILOSOPHE;DOCUMENTAIRE;FRANCE;LES FILMS SAINT ANDRE DES ARTS;TP;2014-04-02;NON;1;26 lettres et un philosophe;les films saint andre des arts
2008;2008293150;119634;27 ROBES;COMEDIE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2008-04-23;NON;224;27 robes;twentieth century fox france inc                                
2000;2000293397;099506;28 JOURS EN SURSIS;DRAME;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;TP;2000-06-21;NON;191;28 jours en sursis;sony pictures television distribution (france)                  
2003;2003393244;107399;28 JOURS PLUS TARD;SCIENCE FICTION;GRANDE BRETAGNE;UFD;16;2003-05-28;NON;189;28 jours plus tard;ufd
2007;2007393562;117926;28 SEMAINES PLUS TARD;HORREUR;GRANDE BRETAGNE;TWENTIETH CENTURY FOX FRANCE INC                                ;12A;2007-09-19;NON;246;28 semaines plus tard;twentieth century fox france inc                                
2008;2008293197;119673;2EME SOUS SOL;HORREUR;ETATS UNIS;SOCIETE NOUVELLE DE DISTRIBUTION                                ;16;2008-03-05;NON;77;2eme sous sol;societe nouvelle de distribution                                
2007;2007093570;113489;3 AMIS;COMEDIE;FRANCE;GAUMONT                                                         ;TP;2007-08-22;NON;542;3 amis;gaumont                                                         
2009;1900025697;118866;3 AMIS MENENT L'ENQUETE;ANIMATION;ALLEMAGNE / FRANCE / ITALIE;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TP;2009-10-21;OUI;111;3 amis menent l enquete;societe d’exploitation des films majestic
2020;2019005464;152323;3 AVENTURES DE BROOKE;COMEDIE;CHINE;LES ACACIAS;TP;2020-01-15;OUI;17;3 aventures de brooke;les acacias
2018;2017002419;147890;3 BILLBOARDS LES PANNEAUX DE LA VENGEANCE;DRAME;GRANDE BRETAGNE;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2018-01-17;OUI;166;3 billboards les panneaux de la vengeance;twentieth century fox france inc                                
2014;2010002763;128140;3 COEURS;COMEDIE DRAMATIQUE;FRANCE / ALLEMAGNE / BELGIQUE;WILD BUNCH DISTRIBUTION                                         ;TP;2014-09-17;OUI;262;3 coeurs;wild bunch distribution                                         
2014;2013002681;138140;3 DAYS TO KILL;THRILLER;ETATS UNIS;EUROPACORP DISTRIBUTION                                         ;TPA;2014-03-19;NON;335;3 days to kill;europacorp distribution                                         
2005;2005993326;112776;3 EXTREMES;FANTASTIQUE;CHINE;WILD BUNCH DISTRIBUTION                                         ;16;2005-05-04;OUI;10;3 extremes;wild bunch distribution                                         
2011;1900026649;121576;3 FOIS 20 ANS;COMEDIE;FRANCE / BELGIQUE / GRANDE BRETAGNE;GAUMONT                                                         ;TP;2011-07-13;OUI;101;3 fois 20 ans;gaumont                                                         
2003;2003993503;107885;3 HISTOIRES DE L AU DELA;INDETERMINE;HONG KONG;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;12;2003-06-25;OUI;16;3 histoires de l au dela;societe d’exploitation des films majestic
2018;2017002851;147145;3 JOURS A QUIBERON;DRAME;ALLEMAGNE / AUTRICHE / FRANCE;DULAC DISTRIBUTION;TP;2018-06-13;OUI;98;3 jours a quiberon;dulac distribution
2023;2022004240;157770;3 JOURS MAX;COMEDIE;FRANCE;STUDIOCANAL;TP;2023-10-25;NON;717;3 jours max;studiocanal
2002;2002093274;101563;3 ZEROS;COMEDIE;FRANCE;BAC DISTRIBUTION;TP;2002-04-24;NON;660;3 zeros;bac distribution
2000;2000093418;097880;30 ANS;COMEDIE DRAMATIQUE;FRANCE;GEMINI FILMS;TP;2000-07-05;OUI;33;30 ans;gemini films
2004;2004293420;110570;30 ANS SINON RIEN;COMEDIE;ETATS UNIS;GAUMONT COLUMBIA TRISTAR FILMS;TP;2004-08-04;NON;240;30 ans sinon rien;gaumont columbia tristar films
2012;2010001848;127162;30 BEATS;COMEDIE;FRANCE;ORANGE STUDIO                                                   ;TP;2012-03-21;NON;7;30 beats;orange studio                                                   
2012;2011000920;129542;30 COULEUR;COMEDIE;FRANCE;MARS FILMS                                                      ;TP;2012-03-14;NON;172;30 couleur;mars films                                                      
2017;2016003984;145589;30 DAYS IN ATLANTA LES AVENTURES D AKPOS;COMEDIE;ETATS UNIS;PARIS BLACK FILMS;TP;2017-01-18;NON;1;30 days in atlanta les aventures d akpos;paris black films
2020;2019003800;151530;30 JOURS;COMEDIE;FRANCE;STUDIOCANAL;TP;2020-10-14;NON;636;30 jours;studiocanal
2008;2007293995;119325;30 JOURS DE NUIT;THRILLER;ETATS UNIS;SOCIETE NOUVELLE DE DISTRIBUTION                                ;12;2008-01-09;NON;204;30 jours de nuit;societe nouvelle de distribution                                
2011;2011002913;131339;30 MINUTES MAXIMUM;COMEDIE;ETATS UNIS;SONY PICTURES RELEASING (FRANCE)                                ;TP;2011-12-28;NON;47;30 minutes maximum;sony pictures releasing (france)                                
2007;2007293216;117322;300;AVENTURES;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;12;2007-03-21;NON;498;300;warner bros. entertainment france                               
2014;2014000550;139134;300 : LA NAISSANCE D'UN EMPIRE;FANTASTIQUE;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;12A;2014-03-05;NON;459;300 : la naissance d un empire;warner bros. entertainment france                               
2017;2015002357;142779;3000 NUITS;DRAME;LIBAN / FRANCE;JHR FILMS;TP;2017-01-04;OUI;32;3000 nuits;jhr films
2019;2018003517;151235;303;DRAME;ALLEMAGNE;WAYNA PITCH                                                     ;TP;2019-07-24;OUI;19;303;wayna pitch                                                     
2023;2023003951;;305 BELLECHASSE DANS L'INTIMITE DES ATELIERS D'ARTISTES;DOCUMENTAIRE;CANADA;LA NOUVELLE DIMENSION;TP;2023-09-27;NON;2;305 bellechasse dans l intimite des ateliers d artistes;la nouvelle dimension
2009;2009093116;115572;35 RHUMS;COMEDIE DRAMATIQUE;FRANCE / ALLEMAGNE;WILD BUNCH                                                      ;TP;2009-02-18;OUI;36;35 rhums;wild bunch                                                      
2022;2020003851;154138;355;THRILLER;GRANDE BRETAGNE;SOCIETE NOUVELLE DE DISTRIBUTION;TP;2022-01-05;NON;467;355;societe nouvelle de distribution
2004;2004093839;104876;36 QUAI DES ORFEVRES;POLICIER;FRANCE;GAUMONT COLUMBIA TRISTAR FILMS;TPA;2004-11-24;NON;567;36 quai des orfevres;gaumont columbia tristar films
